effectiveDate,Close,Open,High,Low,Volume,NBP_Rate,NBP_No
2022-08-19,4.7061,4.7061,4.710806099999999,4.7013939,1000000,4.7061,160/A/NBP/2022
2022-08-22,4.7427,4.7427,4.7474427,4.7379573,1000000,4.7427,161/A/NBP/2022
2022-08-23,4.803,4.803,4.807803,4.798197,1000000,4.803,162/A/NBP/2022
2022-08-24,4.8029,4.8029,4.8077029,4.798097100000001,1000000,4.8029,163/A/NBP/2022
2022-08-25,4.7546,4.7546,4.759354599999999,4.7498454,1000000,4.7546,164/A/NBP/2022
2022-08-26,4.7465,4.7465,4.7512465,4.7417535,1000000,4.7465,165/A/NBP/2022
2022-08-29,4.7821,4.7821,4.7868821,4.7773179,1000000,4.7821,166/A/NBP/2022
2022-08-30,4.721,4.721,4.725720999999999,4.716279,1000000,4.721,167/A/NBP/2022
2022-08-31,4.736,4.736,4.740735999999999,4.7312639999999995,1000000,4.736,168/A/NBP/2022
2022-09-01,4.6959,4.6959,4.7005959,4.6912041,1000000,4.6959,169/A/NBP/2022
2022-09-02,4.7276,4.7276,4.7323276,4.7228724,1000000,4.7276,170/A/NBP/2022
2022-09-05,4.769,4.769,4.773769,4.7642310000000005,1000000,4.769,171/A/NBP/2022
2022-09-06,4.7367,4.7367,4.7414366999999995,4.7319633,1000000,4.7367,172/A/NBP/2022
2022-09-07,4.7584,4.7584,4.763158399999999,4.7536416,1000000,4.7584,173/A/NBP/2022
2022-09-08,4.7268,4.7268,4.731526799999999,4.7220732,1000000,4.7268,174/A/NBP/2022
2022-09-09,4.6599,4.6599,4.6645598999999995,4.6552401,1000000,4.6599,175/A/NBP/2022
2022-09-12,4.6225,4.6225,4.627122499999999,4.6178775,1000000,4.6225,176/A/NBP/2022
2022-09-13,4.6363,4.6363,4.6409363,4.631663700000001,1000000,4.6363,177/A/NBP/2022
2022-09-14,4.7233,4.7233,4.728023299999999,4.7185767,1000000,4.7233,178/A/NBP/2022
2022-09-15,4.7202,4.7202,4.7249202,4.7154798,1000000,4.7202,179/A/NBP/2022
2022-09-16,4.7384,4.7384,4.7431384,4.7336616000000005,1000000,4.7384,180/A/NBP/2022
2022-09-19,4.7255,4.7255,4.7302254999999995,4.7207745,1000000,4.7255,181/A/NBP/2022
2022-09-20,4.7118,4.7118,4.716511799999999,4.7070882,1000000,4.7118,182/A/NBP/2022
2022-09-21,4.7919,4.7919,4.7966919,4.7871081,1000000,4.7919,183/A/NBP/2022
2022-09-22,4.8343,4.8343,4.8391342999999996,4.8294657,1000000,4.8343,184/A/NBP/2022
2022-09-23,4.8796,4.8796,4.8844796,4.8747204,1000000,4.8796,185/A/NBP/2022
2022-09-26,4.9113,4.9113,4.9162113,4.9063887,1000000,4.9113,186/A/NBP/2022
2022-09-27,4.9476,4.9476,4.9525476,4.9426524,1000000,4.9476,187/A/NBP/2022
2022-09-28,5.0381,5.0381,5.043138099999999,5.0330619,1000000,5.0381,188/A/NBP/2022
2022-09-29,5.0328,5.0328,5.0378327999999994,5.0277671999999995,1000000,5.0328,189/A/NBP/2022
2022-09-30,4.9533,4.9533,4.958253299999999,4.948346699999999,1000000,4.9533,190/A/NBP/2022
2022-10-03,4.9207,4.9207,4.9256207,4.9157793,1000000,4.9207,191/A/NBP/2022
2022-10-04,4.8615,4.8615,4.8663615,4.856638500000001,1000000,4.8615,192/A/NBP/2022
2022-10-05,4.838,4.838,4.8428379999999995,4.833162,1000000,4.838,193/A/NBP/2022
2022-10-06,4.8989,4.8989,4.9037989,4.8940011000000005,1000000,4.8989,194/A/NBP/2022
2022-10-07,4.9588,4.9588,4.9637588,4.9538412,1000000,4.9588,195/A/NBP/2022
2022-10-10,5.0239,5.0239,5.0289239,5.0188761,1000000,5.0239,196/A/NBP/2022
2022-10-11,5.0171,5.0171,5.0221171,5.0120829,1000000,5.0171,197/A/NBP/2022
2022-10-12,5.0014,5.0014,5.0064014,4.9963986,1000000,5.0014,198/A/NBP/2022
2022-10-13,4.9905,4.9905,4.995490499999999,4.9855095,1000000,4.9905,199/A/NBP/2022
2022-10-14,4.9569,4.9569,4.9618569,4.9519431,1000000,4.9569,200/A/NBP/2022
2022-10-17,4.9522,4.9522,4.9571521999999995,4.9472478,1000000,4.9522,201/A/NBP/2022
2022-10-18,4.8929,4.8929,4.8977929,4.8880071,1000000,4.8929,202/A/NBP/2022
2022-10-19,4.8892,4.8892,4.894089199999999,4.8843108,1000000,4.8892,203/A/NBP/2022
2022-10-20,4.9024,4.9024,4.9073024,4.8974976,1000000,4.9024,204/A/NBP/2022
2022-10-21,4.9,4.9,4.9049,4.8951,1000000,4.9,205/A/NBP/2022
2022-10-24,4.8669,4.8669,4.8717669,4.8620331000000006,1000000,4.8669,206/A/NBP/2022
2022-10-25,4.8499,4.8499,4.854749899999999,4.8450501,1000000,4.8499,207/A/NBP/2022
2022-10-26,4.7538,4.7538,4.7585538,4.7490462,1000000,4.7538,208/A/NBP/2022
2022-10-27,4.7216,4.7216,4.7263215999999995,4.7168784,1000000,4.7216,209/A/NBP/2022
2022-10-28,4.7477,4.7477,4.752447699999999,4.7429523,1000000,4.7477,210/A/NBP/2022
2022-10-31,4.734,4.734,4.738733999999999,4.729266,1000000,4.734,211/A/NBP/2022
2022-11-02,4.7485,4.7485,4.7532485,4.7437515,1000000,4.7485,212/A/NBP/2022
2022-11-03,4.8291,4.8291,4.8339291,4.8242709,1000000,4.8291,213/A/NBP/2022
2022-11-04,4.7975,4.7975,4.8022975,4.792702500000001,1000000,4.7975,214/A/NBP/2022
2022-11-07,4.6926,4.6926,4.697292599999999,4.687907399999999,1000000,4.6926,215/A/NBP/2022
2022-11-08,4.6893,4.6893,4.6939893,4.6846107,1000000,4.6893,216/A/NBP/2022
2022-11-09,4.6817,4.6817,4.6863817,4.6770183,1000000,4.6817,217/A/NBP/2022
2022-11-10,4.7328,4.7328,4.737532799999999,4.7280672,1000000,4.7328,218/A/NBP/2022
2022-11-14,4.5383,4.5383,4.542838299999999,4.5337616999999995,1000000,4.5383,219/A/NBP/2022
2022-11-15,4.5143,4.5143,4.5188143,4.5097857,1000000,4.5143,220/A/NBP/2022
2022-11-16,4.505,4.505,4.509504999999999,4.500495,1000000,4.505,221/A/NBP/2022
